text,label
Thank you for your order! Your confirmation number is #12345. Expected delivery: 3-5 days.,ham
Your social security is under investigation. Press 1 to speak with an agent.,scam
We detected a virus on your phone. Download our cleaner app immediately.,scam
Your feedback on the new feature has been logged and shared with the product team.,ham
Can you pick up the kids from soccer practice today? I have a late meeting.,ham
"Make money fast with our proven system! Guaranteed $2,000/week. Starter kit only $99!",scam
Your electricity bill for May: $124.80. Auto-pay scheduled for June 15.,ham
The new hire starts on Monday. Please welcome them to the team warmly.,ham
Exclusive investment: Real estate tokens giving 500% ROI. Limited slots. Invest now!,scam
You've been selected as a secret shopper! Evaluate MoneyGram by sending $500 to test account.,scam
"Grocery list for the week: milk, eggs, bread, vegetables, chicken, and yogurt.",ham
Exclusive deal: iPhone for just $1. Buy now before stocks run out.,scam
Your Amazon order has shipped! Track your package at amazon.com with order #A123-456.,ham
The team outing to the escape room is confirmed for next Friday evening. See you there!,ham
Dark web alert: Your personal data found on dark web. Remove now: darkwebremoval-fake.com,scam
Congratulations on your promotion! The team is so proud of you. Well deserved!,ham
"Student loan forgiveness! Apply now for up to $50,000 forgiven. Processing fee of $200 required.",scam
The local shelter needs volunteer help this weekend. Sign up at shelter.org.,ham
The office supply order has arrived. Items are in the supply room on Floor 2.,ham
Claim your inheritance! A deceased relative left you $2.5M. Contact: lawyer@claim-estate.xyz,scam
IT department: System patches will be applied this Saturday at 11 PM. Brief downtime expected.,ham
"URGENT: Overpayment received. Return $2,000 to sender immediately or face legal action.",scam
Quick reminder that school starts back on September 4th. Supply list sent via email.,ham
The network outage has been resolved. All services are back to normal operation.,ham
Team: Please review the updated code of conduct and confirm receipt by email.,ham
URGENT from DHL: Your package held at customs. Pay $45 release fee: http://dhl-customs.xyz,scam
"Congratulations! Your phone number was randomly selected. You've won $10,000 cash!",scam
Your savings account earned $12.50 in interest this month. Log in to see your balance.,ham
Grandma/Grandpa it's me! I'm in trouble and need bail money. Please don't tell mom/dad!,scam
Credit card interest rate reduction available! Call now: 1-888-RATE-REDUCE-FAKE,scam
Please review the attached quarterly budget report before the board meeting.,ham
Your uploaded documents have been reviewed. Approval decision within 3 business days.,ham
Your Google account will be deleted in 24 hours. Click to prevent: http://google-security.xyz,scam
"Fake job offer: Data entry work from home. Earn $2,000/week. Pay $150 training fee to start.",scam
Your account shows suspicious login. Update password: http://secure-update.xyz,scam
Workshop on machine learning next Tuesday at 2 PM. Registration still open on eventbrite.,ham
Claim your free government phone! Low income eligible. Visit: freegov-phone-scam.xyz,scam
Investment tip: This penny stock will rise 1000% tomorrow. Buy now!,scam
Reminder: Car insurance renewal due next month. Review your policy at our official site.,ham
Reminder: Quarterly tax estimated payment due June 15. Pay via irs.gov.,ham
Great news: the apartment application has been approved! Move-in date is July 1.,ham
We're having a team lunch on Friday to celebrate Q2 results. See the invite for details.,ham
You have unused airline miles expiring today! Claim now: http://airmiles-claim-fake.com,scam
Reminder: Community town hall meeting on Wednesday at 7 PM at the community center.,ham
Your WhatsApp account is expiring! Send this message to 10 friends or pay $5.99 to continue.,scam
Free psychic reading reveals shocking truth about your future. Limited time: psychic-scam.xyz,scam
"Pyramid opportunity: Pay $100 to join, recruit 5 friends, earn $10,000/month guaranteed!",scam
Free dental implants for seniors! Government program. Call to qualify: 1-888-DENTAL-FAKE,scam
"Congratulations! Bank of America reward program: Claim $1,000 cash back at rewards-boa.xyz",scam
Bitcoin giveaway: Send 0.1 BTC and receive 1 BTC back! Elon Musk is doubling all crypto!,scam
"SCAM: Fake check offer – Deposit $5,000 check, keep $500, wire rest. Check will bounce!",scam
Hi! Can we reschedule our call to Thursday? Something came up on Tuesday.,ham
Your prescription is ready for pickup at the pharmacy. Open until 9 PM.,ham
Your dog's vaccination appointment is next Wednesday at 3 PM at PetCare Clinic.,ham
"Act now, your account needs verification. Click the link before it expires.",scam
Your account will be permanently banned unless you verify: http://verify-account-now.com/login,scam
Password reset required: click here or your account will be suspended today.,scam
Friendly reminder that the charity run is this Sunday at 8 AM in Central Park.,ham
Cheap medications from Canada pharmacy! No prescription needed. Order: canadarx-fake.com,scam
SPECIAL ALERT: Medicare is issuing new cards. Verify your Medicare number: http://medicare.xyz,scam
Invitation to speak at our annual conference on AI ethics in September. RSVP by August 1.,ham
Reminder: Passport renewal takes 6-8 weeks. Apply early before your trip.,ham
"BANK ALERT: Unauthorized transaction of $9,999 detected. Call immediately: +1-900-555-SCAM",scam
FREE Covid-19 test kit from government! Register now: http://covid-kit-claim.xyz/register,scam
Remember to submit your timesheet by 5 PM today. HR needs it for payroll processing.,ham
Your PayPal funds are on hold. Verify identity at: http://paypal-id-verify-fake.xyz,scam
Neighborhood watch meeting this Thursday. Important updates on recent incidents.,ham
Your podcast subscription includes ad-free listening. Subscribe at podcastapp.com.,ham
"You owe $4,500 in unpaid taxes. Avoid prison by calling: 1-888-TAX-COLLECTOR-FAKE",scam
Your tax return has been processed. Refund of $342 expected within 21 business days.,ham
Hi! I'm a Nigerian prince with $25 million to transfer. I need your bank account for safe transfer.,scam
Urgent package seized by customs. Pay $89 to release. WhatsApp: +1-555-FAKE-NUM,scam
Your identity has been stolen. Act now! Call our fraud department: 1-888-ID-FRAUD-FAKE,scam
The maintenance crew will be in the building tomorrow from 9 AM to 12 PM.,ham
Thanks for joining the book club! Our next meeting is on Saturday to discuss chapter 5.,ham
Your feedback survey results: 4.8/5 stars. Thank you for the great reviews!,ham
FINAL NOTICE: Your social security number has been suspended. Press 1 to speak with an officer.,scam
Urgent: Arrest warrant issued in your name. Call immediately: 1-900-LAW-FAKE to resolve.,scam
"Send $100 and receive $1,000 in 24 hours. Guaranteed. DM for details.",scam
Earn passive income with our automated trading bot. 100% profit guaranteed. Invest $500.,scam
"PRIZE: You're the 1,000,000th visitor! Claim Samsung TV: http://visitor-prize-fake.xyz",scam
"Act now! Limited time offer. Make $5,000/week working from home. No experience needed!",scam
Free vacation! You've been selected. Just pay $299 activation fee. Call: 1-888-VACATION-FAKE,scam
"Hey, can you help me with the homework assignment due tomorrow morning?",ham
Hi! I finished the design mockups you asked for. Sending them via email now.,ham
ALERT: Your IP address has been flagged for illegal activity. Call FBI cybercrime: 1-888-FBI-FAKE,scam
Good news: The city approved our building permit application. Construction can begin next month.,ham
Win a free car! Enter your details at freecardraw.xyz to claim your prize.,scam
"Congratulations! Your email was chosen from millions. Claim $750,000 prize. Reply for details.",scam
Your credit score qualifies you for instant loan approval. Apply with zero docs.,scam
"Dear winner, your email won $850,000 in Shell Petroleum annual consumer email lottery!",scam
Invitation: Company holiday party on December 20 at 6 PM. RSVP by December 10.,ham
The software update is available. Please update your device when convenient.,ham
Your Uber Eats order couldn't be delivered. Confirm address: http://ubereats-delivery.xyz,scam
Reminder: Submit your expenses report for May reimbursement by end of this week.,ham
"Congratulations! You've won $5,000,000 in the international lottery. Send your bank details to claim your prize.",scam
Earn thousands weekly from home. No experience needed. Join our team today!,scam
"Lottery winnings notification: You have won EUR 2,500,000 in European lottery draw.",scam
Job posting: Software Engineer position available at our company. Apply at careers.company.com,ham
Your flight AA1234 tomorrow departs at 8:45 AM from Terminal B. Check-in opens at 6:45 AM.,ham
"You won the Publishers Clearing House sweepstakes! $1M prize. Wire $3,000 for processing.",scam
Just wanted to check in and see how you're doing. It's been a while!,ham
Your charity donation receipt has been sent to your email for tax purposes.,ham
Just a heads-up: the printer on the 3rd floor is out of paper. Refill requested.,ham
Project status update: Development is 75% complete. On track for the August deadline.,ham
Your kid's school fundraiser starts Monday. Details in the parent newsletter.,ham
YOUR COMPUTER IS INFECTED! Call Windows Support: 1-888-555-FAKE before it's too late!,scam
Thanks for your feedback on our product. We've noted your suggestions for improvement.,ham
Your gym bag was found at the front desk. Please collect it at your convenience.,ham
Your child's progress report is now available on the parent portal. Log in to view it.,ham
The project deadline has been extended to next Friday. Please update your timelines.,ham
"Hi, I am a hacker. I have your compromising videos. Pay $2,000 or I will send to all contacts.",scam
Phishing test: Your bank credentials were captured. Visit: http://bank-fake-login.xyz to reset.,scam
"Crypto investment bot made $12,000 today. Join our exclusive group: t.me/cryptoprofit_scam",scam
Your Netflix subscription has expired. Update billing info here: http://netflix-billing-update.info,scam
We found a virus on your device! Call Microsoft support immediately: 1-888-555-FAKE,scam
Your package has been delivered. It was left at the front door.,ham
Good news! The client approved the proposal. Let's schedule a kickoff call this week.,ham
"Your loan application approved! $50,000 no credit check. Send processing fee of $299 now.",scam
Don't forget Mom's birthday is next week. Should we plan something together?,ham
Happy anniversary! So glad we've been friends for over 10 years.,ham
The product roadmap for Q3 has been finalized and shared with all stakeholders.,ham
We're planning a surprise party for Jake on Saturday. Are you available to help decorate?,ham
SECURITY BREACH: Your password was leaked. Reset immediately: http://password-reset-fake.com,scam
"Mom, I'll be home for Christmas! Arriving on the 23rd at around 7 PM.",ham
"You have been pre-approved for $50,000 personal loan. Bad credit OK. Fee required upfront.",scam
Ransomware: Your files are encrypted. Send 2 Bitcoin within 24h or lose everything forever.,scam
WARNING: Unauthorized login from Russia detected. Secure account: http://account-secure.xyz,scam
Your mortgage is at risk of foreclosure. We can help. Call: 1-888-FAKE-HELP now!,scam
Your freelance invoice #2045 has been paid. Check your bank account.,ham
"You have a pending payment of $3,200 from the IRS. Verify your SSN to receive your refund now.",scam
URGENT: Your email storage is full. Upgrade now to avoid losing all emails: mailupgrade.xyz,scam
Your flight check-in is now open. Download your boarding pass via the airline's official app.,ham
